condition,method,stage,metric,direction,mean,ci95_low,ci95_high,between_train_seed_sd,between_eval_seed_sd
density_high,ours,multi_hard,coverage_rate,higher,0.8678885067789642,0.8412489596316138,0.8949245839283188,0.01990814109370211,0.004712901204761005
density_high,ours,multi_hard,cover_latency_seconds,lower,19.287705893205747,16.735252228791264,21.889768066920578,1.1241211411835654,2.2755973062648276
density_high,ours,multi_hard,cover_latency_p90_seconds,lower,36.87555558946398,31.01099123382569,43.05175038316514,3.6696491935508786,3.8377874091745197
density_high,ours,multi_hard,strict_response_sla_success_rate,higher,0.1215180800832871,0.09293956606836931,0.1500941282266712,0.008738070921211937,0.0154606831933017
density_high,ours,multi_hard,active_steam_mean,lower,3.4766875,3.3671579861111107,3.5975920138888884,0.017544041802782025,0.09843863755956488
density_high,ours,multi_hard,action_delta_mean,lower,0.027764840199434898,0.026040637985597345,0.029543520201165775,0.0008747873223625266,0.0006330949043255917
density_high,ours,multi_extreme,coverage_rate,higher,0.8502752568900672,0.8195658854875101,0.8778022224867962,0.016133146762317092,0.013053364183326283
density_high,ours,multi_extreme,cover_latency_seconds,lower,22.891092640087177,20.6311347754183,25.290095608727526,0.3684739459383373,1.4203198230278073
density_high,ours,multi_extreme,cover_latency_p90_seconds,lower,44.4205556233724,39.572969328138555,49.32981706237793,0.29034010972939095,2.075067521342547
density_high,ours,multi_extreme,strict_response_sla_success_rate,higher,0.11428189932745393,0.08557373583790835,0.1453956924995456,0.009036677898927765,0.008509024779167552
density_high,ours,multi_extreme,active_steam_mean,lower,3.7449097222222227,3.561665104166666,3.9338479166666667,0.02912223798698106,0.09389238570082521
density_high,ours,multi_extreme,action_delta_mean,lower,0.029316834686450032,0.027509284397873007,0.03184978123373007,0.0005811278486429755,0.0007884042031139413
density_high,horizon2,multi_hard,coverage_rate,higher,0.8881108251758391,0.8539206186688111,0.914946675250346,0.0,0.030392653210901108
density_high,horizon2,multi_hard,cover_latency_seconds,lower,18.886826903125925,17.683470594220594,20.085200285598567,0.0,0.4297507287869042
density_high,horizon2,multi_hard,cover_latency_p90_seconds,lower,35.77733357747396,33.49300067138671,38.11370011901856,0.0,0.9356372130619781
density_high,horizon2,multi_hard,strict_response_sla_success_rate,higher,0.1145422271852223,0.07057548791586611,0.15035260629540817,0.0,0.04034291532529243
density_high,horizon2,multi_hard,active_steam_mean,lower,3.491895833333333,3.394291666666667,3.5669593750000006,0.0,0.05471179222373703
density_high,horizon2,multi_hard,action_delta_mean,lower,0.027665401374689966,0.026131458592849006,0.028954482597395834,0.0,0.0005070144934875122
density_high,horizon2,multi_extreme,coverage_rate,higher,0.8246509524614827,0.7920633939290225,0.8572605665939,0.0,0.018798643550777625
density_high,horizon2,multi_extreme,cover_latency_seconds,lower,21.881904973135182,19.472106627559242,24.74845756752994,0.0,2.1962480248960423
density_high,horizon2,multi_extreme,cover_latency_p90_seconds,lower,40.47900024414063,34.789216435750326,46.06148341369628,0.0,3.4813068652959167
density_high,horizon2,multi_extreme,strict_response_sla_success_rate,higher,0.12398929044424038,0.08336569437374035,0.16084960395041037,0.0,0.028231764733579762
density_high,horizon2,multi_extreme,active_steam_mean,lower,3.5938958333333333,3.4465625,3.7545854166666666,0.0,0.06634116172922608
density_high,horizon2,multi_extreme,action_delta_mean,lower,0.02715044071138317,0.025474686514253362,0.02875055324128007,0.0,0.00043625292335254816
density_high,dynamic_weighted,multi_hard,coverage_rate,higher,0.8586561113448002,0.8276434289127839,0.8905880843412881,0.0,0.026090329620048106
density_high,dynamic_weighted,multi_hard,cover_latency_seconds,lower,21.077601103311153,18.78130974893506,23.977040690481022,0.0,2.664183763762833
density_high,dynamic_weighted,multi_hard,cover_latency_p90_seconds,lower,41.74966715494792,35.41862533060709,51.02436723836265,0.0,8.265729534020187
density_high,dynamic_weighted,multi_hard,strict_response_sla_success_rate,higher,0.11340433638248652,0.0778914997873365,0.1540716419184161,0.0,0.02905243196628576
density_high,dynamic_weighted,multi_hard,active_steam_mean,lower,3.5096249999999998,3.391957291666666,3.6365833333333333,0.0,0.10502177973520546
density_high,dynamic_weighted,multi_hard,action_delta_mean,lower,0.026174590616624874,0.024487051531841268,0.02814800500708334,0.0,0.001188378742914957
density_high,dynamic_weighted,multi_extreme,coverage_rate,higher,0.8254459818537474,0.770088858509911,0.8817498296078242,0.0,0.051275103094166885
density_high,dynamic_weighted,multi_extreme,cover_latency_seconds,lower,25.93357968696628,22.34175826498683,29.890622699183865,0.0,0.42248427044594666
density_high,dynamic_weighted,multi_extreme,cover_latency_p90_seconds,lower,48.82366689046224,39.7639500427246,57.72301684824625,0.0,3.5682035062855166
density_high,dynamic_weighted,multi_extreme,strict_response_sla_success_rate,higher,0.0743290579649921,0.053030433842790825,0.09419821302890242,0.0,0.005959088596620592
density_high,dynamic_weighted,multi_extreme,active_steam_mean,lower,3.986270833333333,3.7375619791666668,4.260022916666667,0.0,0.06427389917052923
density_high,dynamic_weighted,multi_extreme,action_delta_mean,lower,0.02893262495996836,0.027066947167160023,0.030471923209093688,0.0,0.0009059247992316692
