main_method,other_method,stage,metric,direction,main_mean,other_mean,delta_main_minus_other,delta_ci95_low,delta_ci95_high,p_value,p_value_holm_4_stages,main_better
ours,horizon2,multi_low,coverage_rate,higher,0.9171764399394717,0.9187935865271795,-0.0016171465877077296,-0.017850062675806404,0.016315566925195313,0.8219589020548973,1.0,False
ours,horizon2,multi_low,cover_latency_seconds,lower,12.535319995503887,12.157531178711327,0.3777888167925596,-0.6818956600816891,1.4409161328504152,0.4931753412329384,1.0,False
ours,horizon2,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,23.71833363850912,0.42877749972872437,-3.221678095499679,3.613272115919331,0.7821608919554023,1.0,False
ours,horizon2,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.1912696714977026,-0.009812669227129367,-0.04193015909072359,0.019795708675795082,0.4975751212439378,1.0,False
ours,horizon2,multi_low,active_steam_mean,lower,2.2980625,2.281625,0.016437499999999883,-0.06029913194444435,0.08661857638888906,0.6358682065896705,1.0,False
ours,horizon2,multi_low,action_delta_mean,lower,0.025353604773400196,0.025488461590572564,-0.00013485681717236714,-0.001908032058869654,0.0018651107907759663,0.856157192140393,1.0,True
ours,horizon2,multi_realistic,coverage_rate,higher,0.9006493850238878,0.8959465827699431,0.0047028022539447045,-0.018774984078624053,0.032617825329402245,0.768561571921404,1.0,True
ours,horizon2,multi_realistic,cover_latency_seconds,lower,16.04035205655089,16.524169473157006,-0.4838174166061151,-2.3691973857536217,1.0506501657928802,0.5978701064946753,1.0,True
ours,horizon2,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,29.449999796549477,0.24588907877604171,-4.324013415018717,3.911224978976777,0.8364581770911454,1.0,False
ours,horizon2,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.13114602435663963,0.01620721603007136,-0.016565259234393396,0.05129434976903761,0.34268286585670715,1.0,True
ours,horizon2,multi_realistic,active_steam_mean,lower,2.84025,2.818104166666666,0.022145833333333975,-0.0711046874999992,0.09854184027777786,0.5800709964501775,1.0,False
ours,horizon2,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.025839254025637515,0.000237791686102138,-0.0012548861052850246,0.0018556124162562133,0.7882605869706515,1.0,False
ours,horizon2,multi_hard,coverage_rate,higher,0.8696093499821506,0.869710100301625,-0.0001007503194744297,-0.04037587846190288,0.03285543913353257,0.9583520823958802,1.0,False
ours,horizon2,multi_hard,cover_latency_seconds,lower,19.58663826266317,19.225678284299768,0.3609599783634003,-1.918802112284593,3.251491775698602,0.8487575621218939,1.0,False
ours,horizon2,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,35.43833374023438,2.6644441053602392,-2.149647211710613,9.179816406249975,0.3237838108094595,0.9713514324283785,False
ours,horizon2,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.12082100058227531,0.006456198246434494,-0.03658036878775443,0.05084011928633197,0.7732613369331534,1.0,True
ours,horizon2,multi_hard,active_steam_mean,lower,3.4913958333333333,3.432562500000001,0.058833333333332405,-0.1225579861111124,0.2659249999999997,0.5856707164641768,1.0,False
ours,horizon2,multi_hard,action_delta_mean,lower,0.027697294922070542,0.027424806108192874,0.00027248881387766793,-0.0015582878148081157,0.0019576381155275635,0.7263636818159092,1.0,False
ours,horizon2,multi_extreme,coverage_rate,higher,0.8545737600631842,0.8162744563968146,0.03829930366636958,0.0038413210001232993,0.07540922832290467,0.03309834508274586,0.13239338033098344,True
ours,horizon2,multi_extreme,cover_latency_seconds,lower,23.87839625483577,21.375560647628006,2.502835607207764,-0.4009209507702446,5.236810335089692,0.08899555022248888,0.3559822008899555,False
ours,horizon2,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,39.92433349609375,6.0883331298828125,-2.8140087805853833,15.94244307793508,0.18229088545572722,0.7291635418229089,False
ours,horizon2,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.1284514645189469,-0.02536213774028398,-0.059261160991373296,0.006813019293000654,0.1143942802859857,0.4575771211439428,False
ours,horizon2,multi_extreme,active_steam_mean,lower,3.806645833333334,3.545125,0.26152083333333387,0.10374670138888824,0.4359013888888893,0.0006999650017499125,0.00279986000699965,False
ours,horizon2,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.02773938021683052,0.0011822993663020143,-0.0019635689673060575,0.004975032573759773,0.48487575621218937,1.0,False
ours,risk_aware,multi_low,coverage_rate,higher,0.9171764399394717,0.9235484220972726,-0.006371982157800882,-0.03387485791421205,0.0150674212913225,0.6993650317484126,1.0,False
ours,risk_aware,multi_low,cover_latency_seconds,lower,12.535319995503887,13.48906872757936,-0.9537487320754732,-2.6008172997896333,0.4669891737443153,0.19749012549372533,0.736363181840908,True
