method,stage,metric,direction,mean,ci95_low,ci95_high,between_train_seed_sd,between_eval_seed_sd,train_seed_count,eval_seed_count,episodes_per_cell
ours,multi_low,coverage_rate,higher,0.9171764399394717,0.9064269333263589,0.9285964668334198,0.004747615747894143,0.003142938544085411,3,3,5
ours,multi_low,cover_latency_seconds,lower,12.535319995503887,11.5746553329131,13.386276467934834,0.16513740308558914,0.7051090221470822,3,3,5
ours,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,21.841202952914767,26.56024743482802,0.946032851240424,1.8253648695170894,3,3,5
ours,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.1516187781183146,0.21142575293875884,0.013041412607479177,0.018318690243124887,3,3,5
ours,multi_low,active_steam_mean,lower,2.2980625,2.238229166666667,2.3431050347222224,0.017157170209079576,0.01840913543220084,3,3,5
ours,multi_low,action_delta_mean,lower,0.025353604773400196,0.024064661589288407,0.026741405167876257,0.0006671191725949934,0.0008728176250544173,3,3,5
ours,multi_realistic,coverage_rate,higher,0.9006493850238878,0.8835932537538382,0.9220919313436317,0.011299602814231834,0.006928335669298191,3,3,5
ours,multi_realistic,cover_latency_seconds,lower,16.04035205655089,15.265243583663322,16.80690852746407,0.18748966424153177,0.2823206971772551,3,3,5
ours,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,26.947175070868592,32.89102501763239,1.3562850535871354,1.9218838898222517,3,3,5
ours,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.11453684749244628,0.1825509570476258,0.009453330363662771,0.017591113570927484,3,3,5
ours,multi_realistic,active_steam_mean,lower,2.84025,2.7935482638888898,2.885243923611111,0.01823418978412057,0.01641393008070976,3,3,5
ours,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.025146585390739537,0.027235399726703316,0.00028445889979730494,0.0005622080361200413,3,3,5
ours,multi_hard,coverage_rate,higher,0.8696093499821506,0.8443015711070707,0.8936250823272933,0.0167656371961054,0.004016465936056667,3,3,5
ours,multi_hard,cover_latency_seconds,lower,19.58663826266317,17.72469770125565,21.714777474600933,0.8004002326105459,1.5782753148501367,3,3,5
ours,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,34.14488627285428,44.04568333943684,2.178709467628967,2.9546276300837717,3,3,5
ours,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.09539453013404738,0.16312822198341098,0.013768317059570828,0.018012344783983524,3,3,5
ours,multi_hard,active_steam_mean,lower,3.4913958333333333,3.375381249999999,3.612237152777778,0.05328182734291304,0.0914047655387532,3,3,5
ours,multi_hard,action_delta_mean,lower,0.027697294922070542,0.02645941279795348,0.02889375379016017,0.00027860825408049293,0.0002355621885494945,3,3,5
ours,multi_extreme,coverage_rate,higher,0.8545737600631842,0.827769384476726,0.8812780901264861,0.0160779312546229,0.006701512284245388,3,3,5
ours,multi_extreme,cover_latency_seconds,lower,23.87839625483577,21.663159066685715,26.859219255752414,1.4111118657523816,0.7549864276046738,3,3,5
ours,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,39.412600194295244,55.918307935926634,4.432908978741567,0.8223923678547581,3,3,5
ours,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.07428058605859965,0.13060025170554063,0.004810547938062687,0.005388353941170387,3,3,5
ours,multi_extreme,active_steam_mean,lower,3.806645833333334,3.631367534722221,4.0000491319444444,0.03712642042737237,0.110381395703085,3,3,5
ours,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.026760875894732517,0.031759039268455164,0.0013051887243968115,0.0005480097359137198,3,3,5
no_attention,multi_low,coverage_rate,higher,0.9212326178950879,0.9064849806476837,0.9402662929054704,0.01012070962255567,0.006790155811468827,3,3,5
no_attention,multi_low,cover_latency_seconds,lower,12.680217374511077,11.955137540876194,13.508657582176507,0.24352094350894737,0.37876191346480514,3,3,5
no_attention,multi_low,cover_latency_p90_seconds,lower,24.49277770996094,22.57288344573975,26.39689981163873,0.3568116353519275,0.5317633272269248,3,3,5
no_attention,multi_low,strict_response_sla_success_rate,higher,0.180310713409187,0.14769148464171566,0.21110316673875013,0.002887021949185633,0.017735546604704375,3,3,5
no_attention,multi_low,active_steam_mean,lower,2.3075902777777775,2.2509302083333336,2.360557465277778,0.017908359669852693,0.012311324911024707,3,3,5
no_attention,multi_low,action_delta_mean,lower,0.025602340876006786,0.02439813214588523,0.0267489859558509,0.000531180461231199,0.0003169931141014484,3,3,5
