method,stage,coverage_rate_mean,coverage_rate_ci95_low,coverage_rate_ci95_high,cover_latency_seconds_mean,cover_latency_seconds_ci95_low,cover_latency_seconds_ci95_high,cover_latency_p90_seconds_mean,cover_latency_p90_seconds_ci95_low,cover_latency_p90_seconds_ci95_high,strict_response_sla_success_rate_mean,strict_response_sla_success_rate_ci95_low,strict_response_sla_success_rate_ci95_high,active_steam_mean_mean,active_steam_mean_ci95_low,active_steam_mean_ci95_high,action_delta_mean_mean,action_delta_mean_ci95_low,action_delta_mean_ci95_high
ours,multi_low,0.9171764399394717,0.9064269333263589,0.9285964668334198,12.535319995503887,11.5746553329131,13.386276467934834,24.147111138237843,21.841202952914767,26.56024743482802,0.18145700227057324,0.1516187781183146,0.21142575293875884,2.2980625,2.238229166666667,2.3431050347222224,0.025353604773400196,0.024064661589288407,0.026741405167876257
ours,multi_realistic,0.9006493850238878,0.8835932537538382,0.9220919313436317,16.04035205655089,15.265243583663322,16.80690852746407,29.69588887532552,26.947175070868592,32.89102501763239,0.147353240386711,0.11453684749244628,0.1825509570476258,2.84025,2.7935482638888898,2.885243923611111,0.026077045711739653,0.025146585390739537,0.027235399726703316
ours,multi_hard,0.8696093499821506,0.8443015711070707,0.8936250823272933,19.58663826266317,17.72469770125565,21.714777474600933,38.102777845594616,34.14488627285428,44.04568333943684,0.1272771988287098,0.09539453013404738,0.16312822198341098,3.4913958333333333,3.375381249999999,3.612237152777778,0.027697294922070542,0.02645941279795348,0.02889375379016017
ours,multi_extreme,0.8545737600631842,0.827769384476726,0.8812780901264861,23.87839625483577,21.663159066685715,26.859219255752414,46.012666625976564,39.412600194295244,55.918307935926634,0.10308932677866292,0.07428058605859965,0.13060025170554063,3.806645833333334,3.631367534722221,4.0000491319444444,0.028921679583132534,0.026760875894732517,0.031759039268455164
horizon2,multi_low,0.9187935865271795,0.9059978339698862,0.932106512296411,12.157531178711327,11.545519591506729,12.9787751000699,23.71833363850912,22.09733356984457,25.676333719889325,0.1912696714977026,0.1624575509075648,0.22355041230475742,2.281625,2.2233119791666667,2.340396875,0.025488461590572564,0.024364862266354127,0.02650949511163846
horizon2,multi_realistic,0.8959465827699431,0.8827605213625118,0.9099209579226145,16.524169473157006,14.801911321398123,18.359479790175765,29.449999796549477,26.386274688720704,33.53401650492349,0.13114602435663963,0.09396332047957301,0.1719828322087619,2.818104166666666,2.726207291666667,2.9185015625000004,0.025839254025637515,0.02482522396229174,0.026848960308130623
horizon2,multi_hard,0.869710100301625,0.8465162657113393,0.8942131742721072,19.225678284299768,17.95834732951523,20.447436102023545,35.43833374023438,33.31265909830729,38.144508707682284,0.12082100058227531,0.08626758852858514,0.15137644351888246,3.432562500000001,3.326395833333334,3.5536078125,0.027424806108192874,0.026221154159492926,0.028669007202284033
horizon2,multi_extreme,0.8162744563968146,0.7815006892748828,0.8494982990827817,21.375560647628006,19.18708323169434,24.06261465449223,39.92433349609375,34.49232524108886,45.31969195556642,0.1284514645189469,0.08765209792987881,0.1608497103563844,3.545125,3.3809578125,3.7046458333333327,0.02773938021683052,0.02591829668677525,0.029559406329860087
risk_aware,multi_low,0.9235484220972726,0.9022929831981554,0.953020130146567,13.48906872757936,12.395267423248848,14.622372116949407,24.090666402180993,22.023333330790205,26.2746828994751,0.19360050007463797,0.14766976797946624,0.24851012931034466,2.326520833333333,2.2461041666666666,2.4005,0.02308406060998959,0.021584660284543346,0.02473962339131948
risk_aware,multi_realistic,0.9005329618007974,0.8853970006167633,0.9183712916765573,16.178214505317893,14.990523753043485,17.33414043202369,31.087333170572922,27.392291295369464,36.106391743977866,0.13829682994288547,0.11922941367769388,0.15702748506676387,2.8335625,2.7726651041666663,2.8886249999999998,0.022902766787421012,0.021064144256822463,0.02455454660331258
risk_aware,multi_hard,0.8355188249082112,0.7776221599751013,0.8755542419360355,18.291783629623662,15.20066086205988,21.700443697014617,35.428666890462246,29.207999979654947,42.19033325195313,0.13066628786257942,0.08194348592899317,0.19438448672762396,3.5012708333333338,3.2313536458333334,3.8284609375000005,0.026096634604703416,0.02400455771261942,0.02923846894371649
risk_aware,multi_extreme,0.8631591152582762,0.8328620306085982,0.8923684389035266,26.939859648179134,23.577042464685086,31.80684524304287,53.14833292643229,44.072324839274096,63.67367469278971,0.1170593282187485,0.07520436769349813,0.15995380237046902,3.7449791666666665,3.501517708333333,4.020354166666666,0.026660856016813502,0.0252612529797335,0.028407930288449196
no_residual,multi_low,0.8379469131750557,0.7120224182174953,0.9152737861119725,17.053104286990674,14.419525397111789,21.647332792784034,36.49222239176433,29.383405864291724,47.870561470879444,0.16192450590990212,0.10098760622799524,0.21746541103887787,2.5823750000000003,2.427540104166666,2.749626736111111,0.022264428243241558,0.020027544563941457,0.024105702948181755
no_residual,multi_realistic,0.7764603213563749,0.6674181428951166,0.864501431422983,23.350106204031302,18.701554415461754,29.242910409176798,48.834889289008245,35.83942521158855,64.55965978325732,0.12155073542547298,0.06725798626660695,0.1681150489316898,3.086777777777778,2.9488281249999995,3.251764062500001,0.021162519051518922,0.019005364143843625,0.023346514933917473
no_residual,multi_hard,0.7259950454299177,0.5896538019428943,0.8374154785488611,24.963639391740017,19.25252330268201,32.15947870670996,51.66433320363363,36.506521927621634,68.44700815412736,0.11106114275787178,0.06638024902538969,0.15043766891987384,3.651006944444444,3.429374479166667,3.9812901041666655,0.02184719666633547,0.01990779471225499,0.023594781812139646
no_residual,multi_extreme,0.6865025334184486,0.5850246512746513,0.7925829500782275,30.966841289582266,23.836519153787247,39.87053151588119,62.545332845052094,47.061088828192815,79.22957478671603,0.09177359314199177,0.04451373603899179,0.13771643572240327,3.853861111111111,3.501727604166667,4.225009548611111,0.02192997212703094,0.019837105331094014,0.02415842833006573
vanilla_lstm_ppo,multi_low,0.16555555555555557,0.06666666666666667,0.28555555555555556,5.149074074074075,0.22333333333333336,12.369513888888882,6.817222188313802,0.2166666666666667,18.42655573357475,0.09296296296296294,0.03111111111111111,0.16666666666666666,2.9658472222222225,2.9425347222222222,2.9856458333333333,4.508882839561846e-05,3.868159527289004e-05,5.291888641751598e-05
vanilla_lstm_ppo,multi_realistic,0.12962962962962962,0.04840873015873016,0.2344457671957671,4.326388888888889,0.3066666666666667,11.7595347222222,5.188777762518989,0.4086944444444446,12.818888888888889,0.060582010582010584,0.013333333333333336,0.1161904761904762,3.2376875000000003,3.0532637152777773,3.4579390624999995,4.566649152846821e-05,3.935394231151969e-05,5.3075493747048864e-05
vanilla_lstm_ppo,multi_hard,0.08917989417989419,0.025396825396825397,0.18108465608465607,2.8916666666666675,0.044444444444444446,8.12645370370369,3.728555535210504,0.07111111111111111,10.460355506049252,0.0446031746031746,0.007407407407407407,0.09957671957671958,3.6350694444444445,3.117145833333333,4.266098958333334,4.781486895107022e-05,4.081756805854704e-05,5.541657176504543e-05
vanilla_lstm_ppo,multi_extreme,0.06071428571428571,0.016666666666666666,0.11455026455026456,3.353333333333334,0.010000000000000002,9.546749999999994,4.106222195095486,0.010000000000000002,11.932999877929689,0.02433862433862434,0.0,0.060846560846560836,3.4981041666666663,3.078824652777777,4.0281960069444445,4.657092626866048e-05,3.991170017666795e-05,5.2764202387652723e-05
