step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.1933351677828979,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46299265201784606,0.46299265201784606,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.19754148972901442,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4645318399879158,0.4645318399879158,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.20263569017026914,1.4182922840118408,-0.05873171612620354,0,1.641534686088562,0.09240525215864182,0.4660737772222258,0.4660737772222258,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.2080557692747698,1.4183205366134644,-0.058726966381073,0,1.641534686088562,0.09240525215864182,0.4676220064718499,0.4676220064718499,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.21355441711823497,1.4183762073516846,-0.05871523916721344,0,1.641534686088562,0.09240525215864182,0.4691802157741836,0.20282022100504943,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.30859183739468515,1.4184672832489014,-0.05869203433394432,0,1.641534686088562,0.09240525215864182,0.47075183612159177,0.20266698669509503,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.3139815946565713,1.4186010360717773,-0.05865254998207092,0,1.641534686088562,0.09240525215864182,0.47234013086837584,0.20006961441378263,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.319291533026405,1.418783187866211,-0.05859189108014107,0,1.641534686088562,0.09240525215864182,0.4739478939822596,0.1991403048699631,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.32451310530866695,1.4190192222595215,-0.05850519612431526,0,1.641534686088562,0.09240525215864182,0.4755778635516126,0.20062845527078854,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
