step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.17368664202402068,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46327237229756635,0.46327237229756635,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.17797530707653944,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4650912805473564,0.4650912805473564,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.18316299008202558,1.4182922840118408,-0.05873171612620354,0,1.641534686088562,0.09240525215864182,0.4669129380613867,0.4669129380613867,0.013636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.18869594308534748,1.4183205366134644,-0.058726966381073,0,1.641534686088562,0.09240525215864182,0.468740887590731,0.468740887590731,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.19432737968697025,1.4183762073516846,-0.05871523916721344,0,1.641534686088562,0.09240525215864182,0.470578817172785,0.2042188224036508,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.27265550111317305,1.4184672832489014,-0.05869203433394432,0,1.641534686088562,0.09240525215864182,0.47243015779991343,0.2040655880936964,0.02727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.27821403624419394,1.4186010360717773,-0.05865254998207092,0,1.641534686088562,0.09240525215864182,0.4742981728264178,0.201468215812384,0.031818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.2837069165923027,1.418783187866211,-0.05859189108014107,0,1.641534686088562,0.09240525215864182,0.4761856562200219,0.20053890626856447,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.28912510254167734,1.4190192222595215,-0.05850519612431526,0,1.641534686088562,0.09240525215864182,0.4780953460690951,0.20202705666938992,0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.2944799836544831,1.4193133115768433,-0.058387745171785355,0,1.641534686088562,0.09240525215864182,0.48002952225130013,0.15009751621671397,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.37234038740302794,1.4196691513061523,-0.058235011994838715,0,1.641534686088562,0.09240525215864182,0.4819902746544944,0.15009627569504458,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.37755151935521836,1.4200899600982666,-0.05804270878434181,0,1.641534686088562,0.09240525215864182,0.483979514352601,0.1500950016457625,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.38272051706049787,1.4205780029296875,-0.057806797325611115,0,1.641534686088562,0.09240525215864182,0.48599879479167435,0.15009372759648038,0.05909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
