step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.15404450545660464,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46367641270160675,0.46367641270160675,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.15845549345926718,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4658993613554372,0.4658993613554372,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.16378493651535617,1.4182922840118408,-0.058731719851493835,0,1.641534686088562,0.09240525215864182,0.46812505927350784,0.46812505927350784,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.16949429529977775,1.4183205366134644,-0.058726973831653595,0,1.641534686088562,0.09240525215864182,0.47035704920689264,0.47035704920689264,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.17533783452046045,1.4183762073516846,-0.058715250343084335,0,1.641534686088562,0.09240525215864182,0.472599019192987,0.20623902442385283,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.22862864017875117,1.4184675216674805,-0.05869205296039581,0,1.641534686088562,0.09240525215864182,0.47485447845525214,0.20608581246564023,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.2344655156027943,1.4186012744903564,-0.05865257605910301,0,1.641534686088562,0.09240525215864182,0.47712652270992595,0.20348842900845687,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.24025861905375895,1.4187835454940796,-0.05859192833304405,0,1.641534686088562,0.09240525215864182,0.47941809121105405,0.2025591194646374,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.2460032886631468,1.4190196990966797,-0.05850524827837944,0,1.641534686088562,0.09240525215864182,0.4817318549917804,0.20404728104133374,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.2517042664859926,1.419313907623291,-0.05838780850172043,0,1.641534686088562,0.09240525215864182,0.48407009392976763,0.15413793143298893,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.3046935023472523,1.4196698665618896,-0.05823509022593498,0,1.641534686088562,0.09240525215864182,0.48643493144048583,0.15413669091131948,0.06111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.3102863777322819,1.4200907945632935,-0.058042798191308975,0,1.641534686088562,0.09240525215864182,0.4888282450702455,0.15413540568616652,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.3158494257879592,1.420578956604004,-0.05780690163373947,0,1.641534686088562,0.09240525215864182,0.491251599440972,0.15413412046101355,0.07222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.321384660939121,1.4211366176605225,-0.05752364173531532,0,1.641534686088562,0.09240525215864182,0.4937064697676235,0.15413285758760242,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.326899780190822,1.4217650890350342,-0.05718952789902687,0,1.641534686088562,0.09240525215864182,0.49619402951664393,0.15413169529702925,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.332396112138859,1.4224658012390137,-0.056801337748765945,0,1.641534686088562,0.09240525215864182,0.49871538509925206,0.15413064476516508,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.33788050883458176,1.4232394695281982,-0.056356120854616165,0,1.641534686088562,0.09240525215864182,0.501271374705765,0.1541297842231062,0.09444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.34335529387650116,1.424086570739746,-0.055851176381111145,0,1.641534686088562,0.09240525215864182,0.5038627247677909,0.15412910249498157,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.3488213899829472,1.4250075817108154,-0.0552840456366539,0,1.641534686088562,0.09240525215864182,0.5064901170134544,0.15412867781188744,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
20,-0.35428404517939366,1.4260025024414062,-0.05465250834822655,0,1.641534686088562,0.09240525215864182,0.5091540096534624,0.154128521349695,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:20.0;1:1.65751:-0.37849:15.0;2:1.86871:0.21352:10.0
21,-0.3597445008441145,1.427071213722229,-0.05395456403493881,0,1.641534686088562,0.09240525215864182,0.5118547938432958,0.15412871133950012,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:21.0;1:1.65751:-0.37849:16.0;2:1.86871:0.21352:11.0
22,-0.3652062627830794,1.4282132387161255,-0.053188424557447433,0,1.641534686088562,0.09240525215864182,0.5145927042762438,0.15412925895717405,0.12222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:22.0;1:1.65751:-0.37849:17.0;2:1.86871:0.21352:12.0
23,-0.3706681665490655,1.4294283390045166,-0.052352480590343475,0,1.641534686088562,0.09240525215864182,0.5173679979973369,0.15413017537858748,0.12777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:23.0;1:1.65751:-0.37849:18.0;2:1.86871:0.21352:13.0
24,-0.376129472975806,1.430715799331665,-0.051445331424474716,0,1.641534686088562,0.09240525215864182,0.5201807644135422,0.15413155001070766,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:24.0;1:1.65751:-0.37849:19.0;2:1.86871:0.21352:14.0
25,-0.381587018857549,1.4320749044418335,-0.05046575516462326,0,1.641534686088562,0.09240525215864182,0.5230310258766016,0.1541333828535345,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:25.0;1:1.65751:-0.37849:20.0;2:1.86871:0.21352:15.0
26,-0.3870492216030404,1.4335049390792847,-0.04941267892718315,0,1.641534686088562,0.09240525215864182,0.5259187935623857,0.15413570743468064,0.14444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:26.0;1:1.65751:-0.37849:21.0;2:1.86871:0.21352:16.0
27,-0.39252054077163706,1.4350048303604126,-0.048285190016031265,0,1.641534686088562,0.09240525215864182,0.528843905420767,0.15413856286969452,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:27.0;1:1.65751:-0.37849:22.0;2:1.86871:0.21352:17.0
