step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.1933391222232532,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46299265201784606,0.46299265201784606,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.19754740581783392,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4645318399879158,0.4645318399879158,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.20264289815996184,1.4182922840118408,-0.058731719851493835,0,1.641534686088562,0.09240525215864182,0.4660737772222258,0.4660737772222258,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.2080639222514019,1.4183205366134644,-0.058726973831653595,0,1.641534686088562,0.09240525215864182,0.4676220064718499,0.4676220064718499,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.21356328041086947,1.4183762073516846,-0.058715250343084335,0,1.641534686088562,0.09240525215864182,0.4691802157741836,0.20282022100504943,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.3085983531590934,1.4184675216674805,-0.05869205296039581,0,1.641534686088562,0.09240525215864182,0.47075191435268804,0.20266700904683682,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.31399214735960085,1.4186012744903564,-0.05865257978439331,0,1.641534686088562,0.09240525215864182,0.4723401979236012,0.20006962558965352,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.31930011726256075,1.4187835454940796,-0.05859193205833435,0,1.641534686088562,0.09240525215864182,0.47394800574096857,0.199140316045834,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.32452239320329146,1.4190196990966797,-0.05850524827837944,0,1.641534686088562,0.09240525215864182,0.4755780088379342,0.20062847762253033,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
