step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.1736905710727973,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46327237229756635,0.46327237229756635,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.17798118415411895,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4650912805473564,0.4650912805473564,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.1831701541281939,1.4182922840118408,-0.058731719851493835,0,1.641534686088562,0.09240525215864182,0.4669129380613867,0.4669129380613867,0.013636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.1887040471861709,1.4183205366134644,-0.058726973831653595,0,1.641534686088562,0.09240525215864182,0.468740887590731,0.468740887590731,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.1943361916898079,1.4183762073516846,-0.058715250343084335,0,1.641534686088562,0.09240525215864182,0.470578817172785,0.2042188224036508,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.2726623829545169,1.4184675216674805,-0.05869205296039581,0,1.641534686088562,0.09240525215864182,0.4724302360310097,0.2040656104454382,0.02727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.27822442483149745,1.4186012744903564,-0.05865257978439331,0,1.641534686088562,0.09240525215864182,0.47429823988164316,0.2014682269882549,0.031818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.2837156509385566,1.4187835454940796,-0.05859192833304405,0,1.641534686088562,0.09240525215864182,0.47618576797873086,0.20053891744443536,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.2891344717256287,1.4190196990966797,-0.05850524827837944,0,1.641534686088562,0.09240525215864182,0.47809549135541674,0.2020270790211317,0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
