step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.1933318388634872,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46299265201784606,0.46299265201784606,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.19753666300448514,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4645318399879158,0.4645318399879158,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.20262993437324062,1.4182922840118408,-0.05873171612620354,0,1.641534686088562,0.09240525215864182,0.4660737772222258,0.4660737772222258,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.2080493438642607,1.4183205366134644,-0.0587269626557827,0,1.641534686088562,0.09240525215864182,0.4676220064718499,0.4676220064718499,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.2135470586616699,1.4183762073516846,-0.05871522054076195,0,1.641534686088562,0.09240525215864182,0.4691802269500545,0.20282024335679122,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.3085843207693957,1.4184672832489014,-0.058691997081041336,0,1.641534686088562,0.09240525215864182,0.47075184729746267,0.20266702022270772,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.3139749297401479,1.4186009168624878,-0.05865248665213585,0,1.641534686088562,0.09240525215864182,0.47234010851663405,0.20006963676552442,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.31928097778027076,1.418783187866211,-0.05859179422259331,0,1.641534686088562,0.09240525215864182,0.4739479275098723,0.19914036074931757,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.3245046135725657,1.4190192222595215,-0.05850506201386452,0,1.641534686088562,0.09240525215864182,0.47557789707922526,0.20062852232601391,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.3296532047744189,1.4193131923675537,-0.05838756263256073,0,1.641534686088562,0.09240525215864182,0.47723231945409733,0.14730033577125295,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.424113997846397,1.4196691513061523,-0.05823477357625961,0,1.641534686088562,0.09240525215864182,0.4789134074569258,0.14729908407371267,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.42911797272717256,1.420089840888977,-0.058042410761117935,0,1.641534686088562,0.09240525215864182,0.4806229045235703,0.1472978100244306,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
