step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.15247695956579654,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46367641270160675,0.46367641270160675,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.15803698010660433,1.4182816743850708,-0.058733392506837845,0,1.641534686088562,0.09240525215864182,0.46589919371737376,0.46589919371737376,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.1637170697773386,1.4182897806167603,-0.058732371777296066,0,1.641534686088562,0.09240525215864182,0.4681241428520944,0.4681241428520944,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.16961226778906857,1.4183132648468018,-0.05872916802763939,0,1.641534686088562,0.09240525215864182,0.47035433347026506,0.47035433347026506,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.17558825213584067,1.418362021446228,-0.05872098729014397,0,1.641534686088562,0.09240525215864182,0.47259340890579754,0.20623488935162154,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.22877667535642598,1.4184445142745972,-0.05870359390974045,0,1.641534686088562,0.09240525215864182,0.4748449119097657,0.20607794465252988,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.23471165197030672,1.4185677766799927,-0.05867229774594307,0,1.641534686088562,0.09240525215864182,0.47711198290189105,0.20347547617408912,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.24057202170126307,1.4187381267547607,-0.058622218668460846,0,1.641534686088562,0.09240525215864182,0.4793976170155737,0.2025397405045048,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.2463699768946417,1.4189609289169312,-0.058548454195261,0,1.641534686088562,0.09240525215864182,0.4817045188115703,0.20402012367505795,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
