step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.19179327534377094,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46299265201784606,0.46299265201784606,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.19713388370697738,1.4182816743850708,-0.05873341113328934,0,1.641534686088562,0.09240525215864182,0.4645316611739815,0.4645316611739815,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.20257708027821,1.4182900190353394,-0.05873250588774681,0,1.641534686088562,0.09240525215864182,0.466072905504296,0.466072905504296,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.20818495121707997,1.4183140993118286,-0.058729641139507294,0,1.641534686088562,0.09240525215864182,0.4676194471974149,0.4676194471974149,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.21381756822177228,1.4183639287948608,-0.05872222036123276,0,1.641534686088562,0.09240525215864182,0.469174940763121,0.20281561654624053,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.3087431745981558,1.418447732925415,-0.05870604142546654,0,1.641534686088562,0.09240525215864182,0.4707428283696501,0.20265816893295857,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.3142256769169314,1.4185726642608643,-0.058676425367593765,0,1.641534686088562,0.09240525215864182,0.47232630631607825,0.20005499637465146,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.31960627598279606,1.4187448024749756,-0.05862848833203316,0,1.641534686088562,0.09240525215864182,0.4739282803288382,0.19911829958017008,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.3248902105930042,1.4189696311950684,-0.05855730548501015,0,1.641534686088562,0.09240525215864182,0.47555149967217036,0.200597531636021,0.03461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.33008868352834425,1.4192514419555664,-0.058458056300878525,0,1.641534686088562,0.09240525215864182,0.4771983112789627,0.14729981050532087,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.42474829911499484,1.4195942878723145,-0.05832606926560402,0,1.641534686088562,0.09240525215864182,0.4788709503233942,0.14729837999384626,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.4297492280182306,1.4200013875961304,-0.058156903833150864,0,1.641534686088562,0.09240525215864182,0.480571339055259,0.1472968488995336,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.4347197391905969,1.4204751253128052,-0.05794635787606239,0,1.641534686088562,0.09240525215864182,0.48230109797583687,0.14729529545347914,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.4396433027664462,1.4210176467895508,-0.05769050866365433,0,1.641534686088562,0.09240525215864182,0.4840617358276987,0.14729375318329557,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.44452272719276514,1.421630859375,-0.057385701686143875,0,1.641534686088562,0.09240525215864182,0.4858546048912228,0.1472922556165956,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.4493694613582578,1.4223158359527588,-0.057028546929359436,0,1.641534686088562,0.09240525215864182,0.48768075569827335,0.14729084745686277,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.4541874789008944,1.4230735301971436,-0.05661593750119209,0,1.641534686088562,0.09240525215864182,0.4895411381978765,0.14728958458345165,0.06538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.4589845353364838,1.423904538154602,-0.05614502355456352,0,1.641534686088562,0.09240525215864182,0.4914365458768657,0.14728850052397469,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.46376769270793744,1.4248093366622925,-0.0556132048368454,0,1.641534686088562,0.09240525215864182,0.4933676828151075,0.1472876511577867,0.07307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
20,-0.46854433767110826,1.4257880449295044,-0.05501812696456909,0,1.641534686088562,0.09240525215864182,0.49533507427853396,0.14728704766075834,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:20.0;1:1.65751:-0.37849:15.0;2:1.86871:0.21352:10.0
21,-0.47331704928836116,1.4268404245376587,-0.05435766279697418,0,1.641534686088562,0.09240525215864182,0.4973391002467555,0.14728673473637327,0.08076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:21.0;1:1.65751:-0.37849:16.0;2:1.86871:0.21352:11.0
22,-0.47808892060979646,1.4279662370681763,-0.05362989753484726,0,1.641534686088562,0.09240525215864182,0.49938010717176984,0.14728679061572775,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:22.0;1:1.65751:-0.37849:17.0;2:1.86871:0.21352:12.0
23,-0.48286430964836213,1.429165244102478,-0.05283312126994133,0,1.641534686088562,0.09240525215864182,0.5014583632744785,0.14728719294707993,0.08846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:23.0;1:1.65751:-0.37849:18.0;2:1.86871:0.21352:13.0
24,-0.4876482542572905,1.430436611175537,-0.05196582153439522,0,1.641534686088562,0.09240525215864182,0.5035739579618487,0.14728803113739714,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:24.0;1:1.65751:-0.37849:19.0;2:1.86871:0.21352:14.0
25,-0.4924309876200178,1.4317799806594849,-0.05102667585015297,0,1.641534686088562,0.09240525215864182,0.5057270476960729,0.14728932753842106,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:25.0;1:1.65751:-0.37849:20.0;2:1.86871:0.21352:15.0
