step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.1721431132585807,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46327237229756635,0.46327237229756635,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.1775714099165063,1.4182816743850708,-0.05873340368270874,0,1.641534686088562,0.09240525215864182,0.46509110173342205,0.46509110173342205,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.18311123422992265,1.4182898998260498,-0.058732450008392334,0,1.641534686088562,0.09240525215864182,0.46691204399171504,0.46691204399171504,0.013636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.1888268824802298,1.4183138608932495,-0.058729447424411774,0,1.641534686088562,0.09240525215864182,0.4687382947886833,0.4687382947886833,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.19459080605292567,1.418363332748413,-0.05872170999646187,0,1.641534686088562,0.09240525215864182,0.4705734639306261,0.20421441911051802,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.27281244965863116,1.418446660041809,-0.058705028146505356,0,1.641534686088562,0.09240525215864182,0.4724210271133919,0.20405719501465397,0.02727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.2784644804329922,1.4185709953308105,-0.05867471545934677,0,1.641534686088562,0.09240525215864182,0.47428418063605676,0.20145431302899014,0.031818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.28402613257446074,1.4187425374984741,-0.05862588435411453,0,1.641534686088562,0.09240525215864182,0.47616588610440796,0.20051804091760278,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.28950369331699816,1.4189666509628296,-0.058553628623485565,0,1.641534686088562,0.09240525215864182,0.47806883690333124,0.2019977647117731,0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.2949060902369945,1.4192478656768799,-0.05845312029123306,0,1.641534686088562,0.09240525215864182,0.4799954470209401,0.15009714741297442,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.3729180854323093,1.4195899963378906,-0.05831971392035484,0,1.641534686088562,0.09240525215864182,0.4819478845761882,0.1500957280773707,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
