step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.12341261718622654,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46367641270160675,0.46367641270160675,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.12219523836092429,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4658993613554372,0.4658993613554372,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.12189744961049662,1.4182922840118408,-0.058731719851493835,0,1.641534686088562,0.09240525215864182,0.46812505927350784,0.46812505927350784,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.12198014397991634,1.4183205366134644,-0.05872698128223419,0,1.641534686088562,0.09240525215864182,0.47035704920689264,0.47035704920689264,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.12219661353329968,1.4183763265609741,-0.058715272694826126,0,1.641534686088562,0.09240525215864182,0.4725990527205997,0.20623902442385283,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.14486283393046887,1.4184675216674805,-0.058692097663879395,0,1.641534686088562,0.09240525215864182,0.47485446727938124,0.20608579011389844,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.1450727118947327,1.4186012744903564,-0.05865265801548958,0,1.641534686088562,0.09240525215864182,0.47712651153405505,0.2034883954808442,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.14523962399908924,1.4187836647033691,-0.0585920549929142,0,1.641534686088562,0.09240525215864182,0.47941810238692495,0.2025590747611538,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.14536073418529144,1.4190196990966797,-0.058505427092313766,0,1.641534686088562,0.09240525215864182,0.4817318102882968,0.20404718045849568,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.14543505376688706,1.419313907623291,-0.05838805064558983,0,1.641534686088562,0.09240525215864182,0.48407004922628405,0.15413790908124714,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.1677503825314523,1.4196699857711792,-0.05823540315032005,0,1.641534686088562,0.09240525215864182,0.48643489791287314,0.1541366797354486,0.06111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.16771782532396207,1.420090913772583,-0.058043189346790314,0,1.641534686088562,0.09240525215864182,0.48882820036676194,0.15413538333442472,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.16765520321809332,1.4205790758132935,-0.05780738219618797,0,1.641534686088562,0.09240525215864182,0.49125153238574665,0.15413409810927176,0.07222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.16756434526215738,1.421136736869812,-0.057524215430021286,0,1.641534686088562,0.09240525215864182,0.49370639153652723,0.15413284641173153,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.16745400869123456,1.4217652082443237,-0.05719020217657089,0,1.641534686088562,0.09240525215864182,0.4961939289338059,0.15413168412115835,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.1673250854890754,1.4224659204483032,-0.05680212005972862,0,1.641534686088562,0.09240525215864182,0.4987152509888013,0.15413064476516508,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.167183667458355,1.4232395887374878,-0.056357014924287796,0,1.641534686088562,0.09240525215864182,0.5012712182435725,0.1541297618713644,0.09444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.16703197747234466,1.4240868091583252,-0.05585218220949173,0,1.641534686088562,0.09240525215864182,0.5038625906573402,0.15412908014323978,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.1668739408268634,1.4250078201293945,-0.055285170674324036,0,1.641534686088562,0.09240525215864182,0.5064899605512618,0.15412865546014565,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
20,-0.1667116521676233,1.4260027408599854,-0.05465376004576683,0,1.641534686088562,0.09240525215864182,0.5091538196636571,0.15412851017382412,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:20.0;1:1.65751:-0.37849:15.0;2:1.86871:0.21352:10.0
21,-0.1665477842360703,1.4270713329315186,-0.05395594239234924,0,1.641534686088562,0.09240525215864182,0.5118545367982652,0.15412867781188744,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:21.0;1:1.65751:-0.37849:16.0;2:1.86871:0.21352:11.0
