step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.11805863300273849,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46327237229756635,0.46327237229756635,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.11672083845671598,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4650912805473564,0.4650912805473564,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.1162825378812552,1.4182922840118408,-0.058731719851493835,0,1.641534686088562,0.09240525215864182,0.4669129380613867,0.4669129380613867,0.013636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.116189738301431,1.4183205366134644,-0.05872698128223419,0,1.641534686088562,0.09240525215864182,0.468740887590731,0.468740887590731,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.1161944629354786,1.4183763265609741,-0.058715272694826126,0,1.641534686088562,0.09240525215864182,0.4705788507003977,0.2042188224036508,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.13889680006754865,1.4184675216674805,-0.058692097663879395,0,1.641534686088562,0.09240525215864182,0.4724302248551388,0.2040655880936964,0.02727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.13883134850844223,1.4186012744903564,-0.05865265801548958,0,1.641534686088562,0.09240525215864182,0.47429822870577226,0.2014681934606422,0.031818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.13869613987791932,1.4187836647033691,-0.0585920549929142,0,1.641534686088562,0.09240525215864182,0.47618577915460175,0.20053887274095178,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.138492184596779,1.4190196990966797,-0.058505427092313766,0,1.641534686088562,0.09240525215864182,0.47809544665193315,0.20202697843829365,0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.1382203436303403,1.419313907623291,-0.05838805064558983,0,1.641534686088562,0.09240525215864182,0.48002964518588,0.15009750504084307,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.16043601183246142,1.4196699857711792,-0.05823540315032005,0,1.641534686088562,0.09240525215864182,0.4819904534684287,0.15009627569504458,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.16002110291949165,1.420090913772583,-0.05804319307208061,0,1.641534686088562,0.09240525215864182,0.4839797155182771,0.15009497929402071,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.15956385297455966,1.4205790758132935,-0.05780738592147827,0,1.641534686088562,0.09240525215864182,0.48599900713322136,0.1500936940688677,0.05909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.15906686287781105,1.421136736869812,-0.057524219155311584,0,1.641534686088562,0.09240525215864182,0.48804982587996154,0.1500924423713274,0.06363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.15854250653251165,1.4217652082443237,-0.05719020590186119,0,1.641534686088562,0.09240525215864182,0.49013332287319983,0.15009128008075434,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.1579919796834088,1.4224659204483032,-0.05680212378501892,0,1.641534686088562,0.09240525215864182,0.49225060452415487,0.15009024072476107,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.15742391008541573,1.4232395887374878,-0.056357018649578094,0,1.641534686088562,0.09240525215864182,0.4944025313748856,0.15008935783096033,0.07727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.15684144430554475,1.4240868091583252,-0.05585218593478203,0,1.641534686088562,0.09240525215864182,0.49658986338461286,0.15008867610283572,0.08181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.15625048552196608,1.4250078201293945,-0.05528517812490463,0,1.641534686088562,0.09240525215864182,0.4988131816986233,0.1500882402438708,0.08636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
20,-0.155652530315788,1.4260027408599854,-0.05465376377105713,0,1.641534686088562,0.09240525215864182,0.501073011582849,0.15008810613342005,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:20.0;1:1.65751:-0.37849:15.0;2:1.86871:0.21352:10.0
21,-0.1550536774287785,1.4270713329315186,-0.05395594611763954,0,1.641534686088562,0.09240525215864182,0.5033696883134168,0.15008827377148348,0.09545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:21.0;1:1.65751:-0.37849:16.0;2:1.86871:0.21352:11.0
22,-0.15445248476616372,1.4282134771347046,-0.05318993702530861,0,1.641534686088562,0.09240525215864182,0.5057035695181953,0.15008881021328646,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:22.0;1:1.65751:-0.37849:17.0;2:1.86871:0.21352:12.0
23,-0.1538559163563142,1.4294285774230957,-0.052354127168655396,0,1.641534686088562,0.09240525215864182,0.5080748004835061,0.15008974898644156,0.10454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:23.0;1:1.65751:-0.37849:18.0;2:1.86871:0.21352:13.0
24,-0.15325919101183333,1.4307160377502441,-0.05144711583852768,0,1.641534686088562,0.09240525215864182,0.5104834929680584,0.15009111244269097,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:24.0;1:1.65751:-0.37849:19.0;2:1.86871:0.21352:14.0
25,-0.15265912523471697,1.4320751428604126,-0.05046767368912697,0,1.641534686088562,0.09240525215864182,0.5129296916753354,0.1500929452855177,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:25.0;1:1.65751:-0.37849:20.0;2:1.86871:0.21352:15.0
26,-0.15206673540562393,1.4335051774978638,-0.049414731562137604,0,1.641534686088562,0.09240525215864182,0.5154133854294667,0.15009525869079315,0.11818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:26.0;1:1.65751:-0.37849:21.0;2:1.86871:0.21352:16.0
27,-0.15148713931783322,1.4350050687789917,-0.04828738793730736,0,1.641534686088562,0.09240525215864182,0.5179344233561947,0.15009810294993597,0.12272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:27.0;1:1.65751:-0.37849:22.0;2:1.86871:0.21352:17.0
28,-0.1509150155203206,1.436574101448059,-0.04708486050367355,0,1.641534686088562,0.09240525215864182,0.5204927607520361,0.15010150041468817,0.12727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:28.0;1:1.65751:-0.37849:23.0;2:1.86871:0.21352:18.0
29,-0.15035881949424437,1.4382109642028809,-0.04580652341246605,0,1.641534686088562,0.09240525215864182,0.5230880958684767,0.15010548461266238,0.1318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:29.0;1:1.65751:-0.37849:24.0;2:1.86871:0.21352:19.0
30,-0.1498130859912373,1.4399148225784302,-0.04445185884833336,0,1.641534686088562,0.09240525215864182,0.5257202610674531,0.1501100443679877,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:30.0;1:1.65751:-0.37849:25.0;2:1.86871:0.21352:20.0
31,-0.14928248860692891,1.4416844844818115,-0.043020475655794144,0,1.641534686088562,0.09240525215864182,0.5283889490125155,0.15011524114795405,0.1409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:31.0;1:1.65751:-0.37849:26.0;2:1.86871:0.21352:21.0
32,-0.14876851845956995,1.4435186386108398,-0.041512083262205124,0,1.641534686088562,0.09240525215864182,0.5310937964878599,0.15012105818875499,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:32.0;1:1.65751:-0.37849:27.0;2:1.86871:0.21352:22.0
33,-0.14826816262196388,1.4454163312911987,-0.039926499128341675,0,1.641534686088562,0.09240525215864182,0.5338345129208433,0.15012754019387448,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:33.0;1:1.65751:-0.37849:28.0;2:1.86871:0.21352:23.0
34,-0.14778752937330836,1.4473761320114136,-0.03826362267136574,0,1.641534686088562,0.09240525215864182,0.5366106289248875,0.15013466481157017,0.15454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:34.0;1:1.65751:-0.37849:29.0;2:1.86871:0.21352:24.0
35,-0.1473225861597065,1.4493969678878784,-0.036523446440696716,0,1.641534686088562,0.09240525215864182,0.5394217756962536,0.15014244321771347,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:35.0;1:1.65751:-0.37849:30.0;2:1.86871:0.21352:25.0
36,-0.14687716456111408,1.4514775276184082,-0.03470604121685028,0,1.641534686088562,0.09240525215864182,0.5422674726724925,0.15015088658817488,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:36.0;1:1.65751:-0.37849:31.0;2:1.86871:0.21352:26.0
37,-0.1464515993490539,1.4536164999008179,-0.03281155228614807,0,1.641534686088562,0.09240525215864182,0.5451472225273498,0.15015998933501917,0.16818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:37.0;1:1.65751:-0.37849:32.0;2:1.86871:0.21352:27.0
38,-0.14604520002732468,1.455812692642212,-0.03084019385278225,0,1.641534686088562,0.09240525215864182,0.5480605391104414,0.15016972351856905,0.17272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:38.0;1:1.65751:-0.37849:33.0;2:1.86871:0.21352:28.0
39,-0.14566012066858364,1.4580647945404053,-0.028792234137654305,0,1.641534686088562,0.09240525215864182,0.5510068748040934,0.15018008913882452,0.17727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:39.0;1:1.65751:-0.37849:34.0;2:1.86871:0.21352:29.0
