step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
0,0.0,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.4614541904793845,0.4614541904793845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:0.0
1,-0.15403942976347415,1.418280005455017,-0.05873359367251396,0,1.641534686088562,0.09240525215864182,0.46367641270160675,0.46367641270160675,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:1.0
2,-0.15844791055635887,1.418282151222229,-0.05873327702283859,0,1.641534686088562,0.09240525215864182,0.4658993613554372,0.4658993613554372,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:2.0
3,-0.16377568729009734,1.4182922840118408,-0.05873171612620354,0,1.641534686088562,0.09240525215864182,0.46812505927350784,0.46812505927350784,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:3.0
4,-0.16948381154311634,1.4183205366134644,-0.0587269626557827,0,1.641534686088562,0.09240525215864182,0.47035704920689264,0.47035704920689264,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,burst,0:1.64153:0.09241:4.0
5,-0.17532692855940202,1.418376088142395,-0.058715227991342545,0,1.641534686088562,0.09240525215864182,0.47259899684124523,0.20623904677559463,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:5.0;1:1.65751:-0.37849:0.0
6,-0.22861733714999413,1.4184672832489014,-0.05869200825691223,0,1.641534686088562,0.09240525215864182,0.47485441140002677,0.20608582364151112,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:6.0;1:1.65751:-0.37849:1.0
7,-0.23445334733808795,1.4186009168624878,-0.05865250900387764,0,1.641534686088562,0.09240525215864182,0.4771264221270879,0.20348842900845687,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:7.0;1:1.65751:-0.37849:2.0
8,-0.24024577079989637,1.4187830686569214,-0.05859183147549629,0,1.641534686088562,0.09240525215864182,0.4794179682764742,0.20255914181637918,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:8.0;1:1.65751:-0.37849:3.0
9,-0.24599141336652353,1.4190189838409424,-0.058505114167928696,0,1.641534686088562,0.09240525215864182,0.4817316538261043,0.20404726986546284,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,2,burst,0:1.64153:0.09241:9.0;1:1.65751:-0.37849:4.0
10,-0.2516908270808152,1.4193130731582642,-0.0583876371383667,0,1.641534686088562,0.09240525215864182,0.4840698704123497,0.15413793143298893,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.3046399995175141,1.4196689128875732,-0.05823487415909767,0,1.641534686088562,0.09240525215864182,0.48643467439545524,0.1541366797354486,0.06111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.31023444893976393,1.420089602470398,-0.05804253742098808,0,1.641534686088562,0.09240525215864182,0.48882793214586046,0.15413540568616652,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.3157974235061579,1.4205776453018188,-0.0578065924346447,0,1.641534686088562,0.09240525215864182,0.49125125298897426,0.15413413163688444,0.07222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.321334288146732,1.4211349487304688,-0.05752328038215637,0,1.641534686088562,0.09240525215864182,0.4937060339086586,0.1541328911152151,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
